ID,Datum,Zeit,Der aktuelle Status des Km,Laufene Km,Kennzeichen,Tankstelle,Menge,Verbrauch,Preis pro liter,Gesamte preis,Steuer,Steuer preis,Gas,alternativ adresse,Google link
16,07.11.2023,13:05,189620.0,0,MP3246,Avia Station - Markt Schwaben D,29.67,0,1.5353,45.55,19%,8.66,Diesel,"85 Markt Schwaben, Germany","https://maps.google.com/?q=48.1909223,11.8630208&elevation=N/A"
17,11.11.2023,18:13,190620.0,1000.0,MP3246,Avia Station - Markt Schwaben D,59.56,5.96,1.5101,89.94,19%,17.09,Diesel,"85 Markt Schwaben, Germany","https://maps.google.com/?q=48.1909223,11.8630208&elevation=N/A"
28,12.11.2023,10:38,0.0,0,MP3246,Agip Station - Muenchen Dp,32.43,0,1.5774,51.16,19%,9.71,Diesel,"Munich, Germany","https://maps.google.com/?q=48.1351253,11.5819806&elevation=N/A"
29,15.11.2023,13:06,191830.0,191830.0,MP3246,Avia Station - Markt Schwaben D,36.74,0.02,1.5018,55.18,19%,10.48,Diesel,"85 Markt Schwaben, Germany","https://maps.google.com/?q=48.1909223,11.8630208&elevation=N/A"
30,18.11.2023,13:16,192675.0,845.0,MP3246,Allguth Station - München Dp,50.85,6.02,1.5102,76.79,19%,14.59,Diesel,"Munich, Germany","https://maps.google.com/?q=48.1351253,11.5819806&elevation=N/A"
42,19.11.2023,18:38,0.0,0,MP3246,Agip Station - Muenchen Dp,23.43,0,1.519,35.59,19%,6.76,Diesel,"Munich, Germany","https://maps.google.com/?q=48.1351253,11.5819806&elevation=N/A"
60,02.12.2023,19:47,195107.0,195107.0,MP3246,Jet Station - München Dp,47.08,0.02,1.4429,67.93,19%,12.91,Diesel,"Munich, Germany","https://maps.google.com/?q=48.1351253,11.5819806&elevation=N/A"
72,03.12.2023,19:56,195712.0,605.0,MP3246,Jet Station - München Dp,4.65,0.77,1.452,6.75,19%,1.28,Diesel,"Munich, Germany","https://maps.google.com/?q=48.1351253,11.5819806&elevation=N/A"
73,09.12.2023,14:07,196239.0,527.0,MP3246,Avia Station - München D,55.68,10.57,1.4682,81.75,19%,15.53,Diesel,"Munich, Germany","https://maps.google.com/?q=48.1351253,11.5819806&elevation=N/A"
92,16.12.2023,19:05,111111.0,-85128.0,MP3246,Omv Station - Poing Dp,37.22,-0.04,1.4008,52.14,19%,9.91,Diesel,"85 Poing, Germany","https://maps.google.com/?q=48.1716114,11.8064153&elevation=N/A"
107,17.12.2023,19:18,197622.0,86511.0,MP3246,Omv Station - Kirchheim Dp,47.63,0.06,1.4009,66.73,19%,12.67,Diesel,"73 Kirchheim unter Teck, Germany","https://maps.google.com/?q=48.6471033,9.4519635&elevation=N/A"
